p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.64E-06,-3.64E-06,-4.33E-06,-4.43E-06,-4.52E-06,-4.36E-06,-4.09E-06,-3.71E-06,-3.27E-06,-2.80E-06,-2.34E-06,-1.91E-06,-1.52E-06,-1.18E-06,-8.92E-07,-6.59E-07,-4.70E-07,-3.20E-07,-1.98E-07,-9.49E-08,-1.85E-09,9.10E-08,1.93E-07,3.14E-07,4.64E-07,6.51E-07,8.83E-07,1.17E-06,1.50E-06,1.89E-06,2.32E-06,2.78E-06,3.25E-06,3.69E-06,4.08E-06,4.34E-06,4.51E-06,4.42E-06,4.32E-06,3.64E-06,3.64E-06
-6.31E-06,-6.31E-06,-7.48E-06,-7.64E-06,-7.80E-06,-7.51E-06,-7.05E-06,-6.38E-06,-5.63E-06,-4.82E-06,-4.02E-06,-3.28E-06,-2.61E-06,-2.02E-06,-1.53E-06,-1.13E-06,-8.09E-07,-5.50E-07,-3.40E-07,-1.63E-07,-3.42E-09,1.56E-07,3.32E-07,5.40E-07,7.97E-07,1.12E-06,1.52E-06,2.00E-06,2.58E-06,3.25E-06,3.99E-06,4.79E-06,5.60E-06,6.35E-06,7.02E-06,7.49E-06,7.78E-06,7.63E-06,7.47E-06,6.30E-06,6.30E-06
-1.08E-05,-1.08E-05,-1.28E-05,-1.30E-05,-1.33E-05,-1.28E-05,-1.20E-05,-1.09E-05,-9.56E-06,-8.18E-06,-6.83E-06,-5.56E-06,-4.42E-06,-3.43E-06,-2.60E-06,-1.92E-06,-1.37E-06,-9.33E-07,-5.77E-07,-2.77E-07,-6.24E-09,2.64E-07,5.62E-07,9.15E-07,1.35E-06,1.89E-06,2.57E-06,3.39E-06,4.37E-06,5.51E-06,6.77E-06,8.13E-06,9.50E-06,1.08E-05,1.19E-05,1.27E-05,1.33E-05,1.30E-05,1.27E-05,1.08E-05,1.08E-05
-1.82E-05,-1.82E-05,-2.15E-05,-2.20E-05,-2.24E-05,-2.15E-05,-2.01E-05,-1.82E-05,-1.60E-05,-1.37E-05,-1.14E-05,-9.31E-06,-7.39E-06,-5.74E-06,-4.35E-06,-3.21E-06,-2.29E-06,-1.56E-06,-9.65E-07,-4.65E-07,-1.12E-08,4.41E-07,9.38E-07,1.53E-06,2.25E-06,3.16E-06,4.29E-06,5.67E-06,7.31E-06,9.21E-06,1.13E-05,1.36E-05,1.59E-05,1.81E-05,2.01E-05,2.14E-05,2.23E-05,2.19E-05,2.15E-05,1.82E-05,1.82E-05
-3.03E-05,-3.03E-05,-3.58E-05,-3.65E-05,-3.71E-05,-3.57E-05,-3.34E-05,-3.02E-05,-2.65E-05,-2.27E-05,-1.89E-05,-1.54E-05,-1.22E-05,-9.47E-06,-7.17E-06,-5.29E-06,-3.78E-06,-2.57E-06,-1.59E-06,-7.67E-07,-1.99E-08,7.25E-07,1.54E-06,2.51E-06,3.71E-06,5.21E-06,7.07E-06,9.34E-06,1.21E-05,1.52E-05,1.87E-05,2.25E-05,2.64E-05,3.00E-05,3.33E-05,3.56E-05,3.71E-05,3.64E-05,3.58E-05,3.03E-05,3.03E-05
-4.99E-05,-4.99E-05,-5.89E-05,-6.00E-05,-6.09E-05,-5.85E-05,-5.47E-05,-4.93E-05,-4.33E-05,-3.70E-05,-3.08E-05,-2.50E-05,-1.99E-05,-1.54E-05,-1.17E-05,-8.61E-06,-6.15E-06,-4.18E-06,-2.59E-06,-1.25E-06,-3.49E-08,1.17E-06,2.51E-06,4.08E-06,6.02E-06,8.45E-06,1.15E-05,1.52E-05,1.96E-05,2.47E-05,3.05E-05,3.67E-05,4.30E-05,4.90E-05,5.44E-05,5.83E-05,6.08E-05,5.99E-05,5.88E-05,4.99E-05,4.99E-05
-8.12E-05,-8.12E-05,-9.55E-05,-9.73E-05,-9.87E-05,-9.46E-05,-8.84E-05,-7.96E-05,-6.98E-05,-5.96E-05,-4.95E-05,-4.02E-05,-3.19E-05,-2.47E-05,-1.87E-05,-1.38E-05,-9.85E-06,-6.70E-06,-4.15E-06,-2.00E-06,-6.03E-08,1.88E-06,4.00E-06,6.52E-06,9.64E-06,1.35E-05,1.84E-05,2.43E-05,3.14E-05,3.97E-05,4.90E-05,5.90E-05,6.93E-05,7.91E-05,8.79E-05,9.43E-05,9.85E-05,9.71E-05,9.55E-05,8.11E-05,8.11E-05
-0.000130387,-0.000130387,-0.000153219,-0.000155799,-0.000157923,-0.000151113,-0.000140944,-0.000126802,-0.000111075,-9.46E-05,-7.86E-05,-6.37E-05,-5.05E-05,-3.91E-05,-2.96E-05,-2.18E-05,-1.56E-05,-1.06E-05,-6.55E-06,-3.17E-06,-1.03E-07,2.95E-06,6.31E-06,1.03E-05,1.52E-05,2.13E-05,2.90E-05,3.84E-05,4.97E-05,6.28E-05,7.77E-05,9.36E-05,0.000110142,0.000125947,0.000140218,0.00015055,0.000157538,0.000155572,0.000153114,0.000130334,0.000130334
-0.000206837,-0.000206837,-0.000242653,-0.000246435,-0.00024942,-0.000238279,-0.000221873,-0.000199274,-0.000174274,-0.000148178,-0.00012293,-9.95E-05,-7.88E-05,-6.09E-05,-4.61E-05,-3.39E-05,-2.42E-05,-1.65E-05,-1.02E-05,-4.93E-06,-1.73E-07,4.57E-06,9.78E-06,1.60E-05,2.36E-05,3.32E-05,4.51E-05,5.98E-05,7.75E-05,9.81E-05,0.00012135,0.000146557,0.000172699,0.000197838,0.000220667,0.000237364,0.000248821,0.000246114,0.000242547,0.000206809,0.000206809
-0.000324131,-0.000324131,-0.000379617,-0.000385008,-0.000389019,-0.000370965,-0.000344773,-0.000309062,-0.000269791,-0.000228988,-0.000189665,-0.000153339,-0.000121193,-9.36E-05,-7.07E-05,-5.21E-05,-3.71E-05,-2.52E-05,-1.56E-05,-7.57E-06,-2.87E-07,6.96E-06,1.49E-05,2.44E-05,3.61E-05,5.08E-05,6.91E-05,9.18E-05,0.000118996,0.000150878,0.000187018,0.000226274,0.00026716,0.00030668,0.000342796,0.0003695,0.000388113,0.000384586,0.00037957,0.000324195,0.000324195
